idx,lat,lon,type,PM25mean,PM25mean_overlap,PM25_yhat_mean_overlap
111121,37.5643,126.9747,city,19.320860906673264,21.024377593360995,21.23375
131111,37.2838,127.0105,city,16.7367316711923,20.633246753246752,20.878301298701295
221112,35.0999,129.0305,city,15.287692038086336,17.55519348268839,17.685674134419553
238501,35.5438,128.4905,city,16.481576642335767,18.032453483340547,18.201903937689313
238511,35.5675,128.1654,city,17.619494290375204,19.13344453711426,19.291484570475397
324115,35.1458,126.9233,city,15.551612903225806,17.515700483091788,17.619915458937196
324121,35.1549,126.8885,city,17.418670605613,19.114622057001238,19.279603469640644
324124,35.099,126.8961,city,16.224072451066316,19.100757134536984,19.34938264414677
324125,35.1619,126.8442,city,17.98518388381354,19.560991105463785,19.83612452350699
324133,35.1739,126.9322,city,15.338034790785144,16.149379932356258,16.306025930101466
324136,35.2181,126.8924,city,15.293214202289183,16.59365466748017,16.76496034167175
324142,35.2044,126.8078,city,16.34623718887262,17.63235294117647,17.734592760180995
324143,35.1576,126.8101,city,17.957268954229264,19.776383342840845,19.94074158585282
324148,35.1238,126.7696,city,19.056633547632963,21.502880184331797,21.742165898617507
324155,35.1319,126.8933,city,18.31008071643198,20.18216318785579,20.372087286527513
335115,35.8287,127.148,city,17.0735368956743,17.691039032435405,17.83046728971963
336111,34.806,126.3916,city,12.746356738528243,13.8326458456099,13.952091926929876
336112,34.8043,126.4346,city,13.7483189844781,17.881653099561678,18.042955541640577
336121,34.7411,127.726,city,13.466623191842542,15.280523255813954,15.401632751937985
336124,34.8502,127.7246,city,16.256515598921556,17.619450317124734,17.979508456659616
336125,34.7546,127.7029,city,14.311493212669683,15.6489898989899,15.783909932659933
336127,34.7774,127.6524,city,13.930668175246716,15.400579150579151,15.559276061776062
336128,34.7539,127.7468,city,14.322936660268716,16.665963431786217,16.97483122362869
336131,34.9476,127.4891,city,12.502866758070548,13.44997651479568,13.575335838421795
336132,34.9471,127.5186,city,14.084823151125402,14.584704743465634,14.782715392061954
336133,34.8855,127.5098,city,11.387923742598735,10.982526210683973,11.202346480279582
336134,34.8935,127.573,city,16.223226703755216,16.745923198316675,17.01593897948448
336135,34.9364,127.5484,city,13.283528905818024,12.725390984360626,12.895887764489421
336141,35.0217,126.7904,city,16.139835858585858,17.877518557794275,18.08166489925769
336151,35.321,126.9882,city,17.00794892658196,17.75793857365955,17.891353461738678
