,PM10,PM25,CO,SO2,NO2,O3,aod354,aod443,aod550,alh,distance,t2m,rh,blh,sp,ws,wd
2022-01-01 02:00:00,23.0,13.0,0.5,0.003,0.027,0.018,0.1671557426452636,0.1156915873289108,0.0782488733530044,1.999304175376892,2.265000104904175,270.114,35.52,354.954,102092.332,0.255,0.0
2022-01-01 03:00:00,29.0,15.0,0.5,0.003,0.031,0.018,0.2055562883615493,0.1426231563091278,0.0966974347829818,2.155079364776612,2.194999933242798,271.757,38.097,460.362,102014.7,0.455,277.328
2022-01-01 04:00:00,33.0,20.0,0.5,0.003,0.031,0.021,0.2257316708564758,0.1562331020832061,0.1056695207953453,2.5194640159606934,2.367000102996826,272.979,40.992,531.683,101896.355,0.961,262.949
2022-01-01 05:00:00,33.0,24.0,0.5,0.004,0.03,0.023,0.2590046525001526,0.179262027144432,0.1212453097105026,1.7673581838607788,2.052000045776367,273.696,42.884,583.095,101796.627,1.136,261.549
2022-01-01 06:00:00,30.0,19.0,0.5,0.004,0.031,0.023,0.3217394948005676,0.2226820290088653,0.1506128460168838,1.532092809677124,2.002000093460083,273.936,44.515,590.818,101748.735,1.253,263.493
2022-01-02 05:00:00,49.0,37.0,0.5,0.004,0.012,0.038,0.233779564499855,0.1777683049440384,0.125871255993843,2.6545403003692627,2.753000020980835,274.56,33.69,725.014,101475.93,3.791,300.8
2022-01-02 06:00:00,32.0,23.0,0.4,0.004,0.011,0.038,0.2256221175193786,0.156157299876213,0.1056182458996772,2.591944694519043,2.3510000705718994,274.229,31.219,727.977,101472.358,3.686,301.158
2022-01-03 02:00:00,35.0,23.0,0.7,0.004,0.048,0.013,0.2810758650302887,0.1959844529628753,0.1334934532642364,2.256721973419189,3.5929999351501465,271.442,33.545,356.933,101628.474,0.965,249.444
2022-01-03 03:00:00,32.0,20.0,0.6,0.004,0.041,0.015,0.4342001676559448,0.3026143610477447,0.2060360610485077,0.9412230253219604,3.3510000705718994,273.02,40.831,595.368,101542.799,1.899,254.104
2022-01-03 06:00:00,32.0,24.0,0.5,0.004,0.045,0.005,0.5672060251235962,0.3938183486461639,0.2671814262866974,0.7494505643844604,2.572000026702881,274.954,56.766,900.189,101302.353,3.131,252.856
2022-01-04 02:00:00,43.0,29.0,0.6,0.005,0.02,0.017,0.1049594432115554,0.0849640071392059,0.0758261606097221,1.7975037097930908,3.660000085830689,270.294,27.638,489.644,101737.552,3.172,309.269
2022-01-04 03:00:00,41.0,30.0,0.6,0.005,0.026,0.015,0.1287594884634018,0.1042338758707046,0.0930239483714103,1.8738744258880613,1.7029999494552612,271.424,23.914,583.815,101695.019,3.284,308.385
2022-01-04 04:00:00,48.0,36.0,0.5,0.004,0.019,0.021,0.0687271952629089,0.0556342452764511,0.0496507920324802,1.9327508211135864,1.6269999742507937,272.262,22.166,673.886,101609.661,3.346,306.308
2022-01-04 05:00:00,46.0,30.0,0.5,0.004,0.02,0.022,0.1042149439454078,0.0843639001250267,0.0752908363938331,1.9923940896987915,1.8949999809265137,272.781,21.448,735.878,101564.441,3.313,305.331
2022-01-04 06:00:00,38.0,23.0,0.4,0.004,0.021,0.021,0.1357924342155456,0.093984417617321,0.0635670498013496,1.780438780784607,1.774999976158142,272.883,21.92,763.773,101558.902,3.239,305.069
2022-01-05 02:00:00,49.0,33.0,0.8,0.004,0.046,0.009,2.394585371017456,1.6652636528015137,1.1315021514892578,0.5418999791145325,2.4800000190734863,271.794,35.715,234.914,101793.354,0.432,47.628
2022-01-05 06:00:00,46.0,32.0,0.7,0.004,0.043,0.006,1.6852728128433228,1.1737339496612549,0.7986254692077637,0.0024493932723999,1.944000005722046,275.643,38.848,567.634,101509.561,0.518,61.901
2022-01-06 04:00:00,57.0,36.0,0.6,0.005,0.024,0.023,0.0665003880858421,0.0538316555321216,0.048042070120573,1.9262363910675049,1.472000002861023,275.174,32.053,640.298,101654.629,3.496,308.788
2022-01-06 05:00:00,53.0,33.0,0.5,0.005,0.019,0.027,0.1587533205747604,0.1101379767060279,0.0746652632951736,1.7388572692871094,1.5640000104904177,275.753,30.984,716.377,101595.104,3.571,310.833
2022-01-06 06:00:00,46.0,28.0,0.5,0.005,0.017,0.029,0.1745218187570572,0.1209921762347221,0.0819673985242843,1.6671169996261597,1.7239999771118164,275.858,30.469,752.532,101603.783,3.516,312.603
2022-01-07 02:00:00,84.0,64.0,1.2,0.005,0.065,0.006,0.1768414378166198,0.1431521475315094,0.1277562528848648,1.9929440021514893,2.638000011444092,272.072,36.808,310.289,101979.572,0.469,292.3
2022-01-07 03:00:00,71.0,53.0,0.8,0.005,0.047,0.012,0.1527468860149383,0.1236477270722389,0.1103494688868522,1.992674827575684,2.500999927520752,273.668,31.264,425.175,101892.382,0.819,279.347
2022-01-07 04:00:00,53.0,37.0,0.6,0.005,0.036,0.016,0.1367484629154205,0.0946460962295532,0.064014583826065,2.3178610801696777,2.2669999599456787,274.841,27.309,515.711,101799.901,1.227,275.097
2022-01-07 05:00:00,46.0,34.0,0.5,0.004,0.036,0.016,0.1134526878595352,0.0918392390012741,0.0819619596004486,1.9662160873413088,2.3420000076293945,275.52,24.869,570.916,101732.002,1.567,274.833
2022-01-07 06:00:00,37.0,25.0,0.5,0.004,0.031,0.02,0.1444127559661865,0.0999507009983062,0.0676023885607719,1.9953320026397705,2.51200008392334,275.654,24.583,580.438,101710.352,1.802,274.201
2022-01-09 05:00:00,125.0,107.0,0.9,0.004,0.03,0.029,1.404315710067749,0.9751283526420592,0.6616271138191223,0.3157337307929992,3.0989999771118164,276.319,58.925,728.131,101031.667,1.266,318.073
2022-01-09 06:00:00,114.0,97.0,0.8,0.004,0.03,0.03,1.100002408027649,0.7632656097412109,0.5175150036811829,0.7026443481445312,3.4130001068115234,276.561,57.132,733.563,101026.32,1.353,317.695
2022-01-10 01:00:00,128.0,108.0,1.5,0.004,0.066,0.005,0.6580445766448975,0.4574162364006042,0.3106706142425537,1.6112927198410034,3.493000030517578,272.957,77.931,101.678,101141.488,0.366,138.991
2022-01-10 02:00:00,132.0,113.0,1.3,0.005,0.066,0.006,1.240015745162964,0.8619344830513,0.5854032039642334,0.1980880498886108,3.388000011444092,275.201,65.447,292.803,101079.814,0.612,210.964
2022-01-11 01:00:00,29.0,19.0,0.4,0.003,0.013,0.018,0.4153247475624084,0.2889487445354461,0.1964087635278701,1.1991994380950928,3.532999992370605,265.455,34.088,684.816,100829.175,5.212,302.193
2022-01-11 02:00:00,25.0,16.0,0.4,0.003,0.013,0.02,0.45259690284729,0.3150674104690552,0.2142815142869949,0.0362435579299926,3.484999895095825,266.65,31.193,762.019,100868.152,5.537,302.792
2022-01-11 03:00:00,22.0,14.0,0.4,0.003,0.013,0.021,0.298134446144104,0.2063445150852203,0.1395628154277801,1.1718246936798096,3.5799999237060547,267.711,29.76,854.571,100836.129,5.755,303.317
2022-01-11 04:00:00,24.0,15.0,0.3,0.004,0.013,0.022,0.1145697459578514,0.0927435010671615,0.0827689543366432,1.881670832633972,3.441999912261963,268.377,29.466,946.825,100779.716,5.884,303.304
2022-01-11 05:00:00,25.0,13.0,0.4,0.004,0.011,0.025,0.2108144462108612,0.1469014883041381,0.1000027060508728,2.137975215911865,1.3389999866485596,268.642,29.906,1043.642,100770.314,5.881,302.931
2022-01-11 06:00:00,20.0,12.0,0.3,0.003,0.011,0.025,0.1578318476676941,0.1092383414506912,0.0738841518759727,2.1349809169769287,2.00600004196167,268.524,30.505,1076.282,100803.197,5.686,303.704
2022-01-12 01:00:00,29.0,21.0,0.4,0.004,0.018,0.016,0.0554262325167655,0.0383615009486675,0.0259460844099521,2.763046741485596,2.749000072479248,264.128,42.726,578.582,101260.498,2.959,306.425
2022-01-12 02:00:00,28.0,19.0,0.4,0.004,0.016,0.019,0.1385693997144699,0.0960764065384864,0.0650940611958503,1.8984102010726929,2.937999963760376,265.593,38.825,648.167,101233.003,2.968,301.917
2022-01-12 03:00:00,24.0,14.0,0.4,0.003,0.016,0.02,0.1641604006290435,0.1328991800546646,0.1186071038246154,1.7562743425369265,2.444999933242798,267.058,36.167,724.047,101148.585,3.068,297.342
2022-01-12 04:00:00,28.0,18.0,0.4,0.004,0.019,0.02,0.0585111714899539,0.0473644249141216,0.0422703959047794,1.929795742034912,2.1689999103546143,268.271,34.233,788.771,101024.266,3.107,294.107
2022-01-12 05:00:00,32.0,23.0,0.4,0.003,0.018,0.024,0.1194025054574012,0.0966723933815956,0.0862763747572898,1.838387131690979,2.125,269.2,33.192,851.33,100951.999,3.414,289.401
2022-01-12 06:00:00,29.0,19.0,0.4,0.004,0.017,0.024,0.1237053424119949,0.0858977437019348,0.0582815296947956,1.994367837905884,2.289999961853028,269.746,33.057,909.533,100936.093,3.51,288.605
2022-01-13 01:00:00,39.0,22.0,0.5,0.004,0.012,0.021,0.2929980456829071,0.2057942599058151,0.1411022841930389,0.6892844438552856,2.907999992370605,266.573,41.638,1214.036,100978.014,4.7,306.66
2022-01-13 02:00:00,41.0,18.0,0.5,0.004,0.011,0.023,0.2724127173423767,0.2205576449632644,0.1968390047550201,1.4649224281311035,2.7950000762939453,267.472,36.577,1265.213,100998.921,5.395,306.301
