,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
12,,,,,,,,,,,44.740720281014674,37.90221525690891,32.545934956425796,29.6609149120377,29.181735625773054,30.139542343553522,,,,,,,,
11,,,,,,,,,,,48.195082592282546,46.71920370712151,43.81052899517518,39.57721381581265,37.46312960037739,36.26342961089001,,,,,,,,
10,,,,,,,,,,30.90050794318856,30.19978783660167,27.768641446873573,26.060387935145005,24.488229505439307,24.41761033523675,24.902957040216993,21.05473905487437,,,,,,,
9,,,,,,,,,16.055389221556883,17.290519877675838,15.907894736842104,14.954022988505747,14.160087719298243,16.951612903225808,16.57160493827161,18.30965909090909,17.550218340611355,17.08939974457216,,,,,,
8,,,,,,,,,20.926117920780833,21.080744047619042,18.7996430565526,17.376003490401395,16.853497023809524,14.863525670854662,16.76105717367853,17.20565630397237,19.035402494331063,20.61595479683714,,,,,,
7,,,,,,,,,26.039220925338178,25.48782969690543,26.55512987012986,25.19845771144279,24.411007462686566,23.09156976744186,23.267304421768706,22.888456883935618,22.278488897193935,22.8498792227728,,,,,,
6,,,,,,,,,28.850880600707317,30.591232744005183,31.093177180916445,30.97341836429749,30.111786199992256,29.280776388806224,28.878841414995257,28.880270289188328,29.054172725751574,27.634157331982674,,,,,,
5,,,,,,,,,38.87763410216324,39.46073669358521,39.11676030411351,38.835823178481355,38.23367904508913,37.9479467831628,38.93946556484523,38.62999822821886,38.744207686505455,39.78928301506058,,,,,,
4,,,,,,,,,50.07401006049787,51.8304676894924,49.631872506730645,48.02057768885752,47.05795824851042,45.677437792617816,44.44913218073539,44.15701129144582,43.35011762817579,43.064396573149644,,,,,,
3,,,,,,,,,,65.08798057304308,64.6493663391719,62.39937402192599,59.40526458318526,58.733084816570376,57.90574150086006,56.41325167792899,55.73736395089059,,,,,,,
2,,,,,,,,,,,47.832160113763116,46.26068369362851,43.35001832945976,39.79528682374471,38.07060002077001,36.90193243237011,36.64320274784469,,,,,,,
1,,,,,,,,,,,48.11443513924633,47.086101269500496,44.685234501572985,41.51861220652527,40.323522962880695,39.7164033160972,,,,,,,,
