idx,lat,lon,type,grid10_lat,grid10_lon,grid25_lat,grid25_lon,len,PM10mean,PM10max,PM10min,PM25mean,PM25max,PM25min,grid10,grid25,n_idxs10,n_idxs25
131571,37.9176,127.0613,city,37.95,127.05,37.875,127.125,113.1,32.766884825585315,81.0,5.0,15.43047027865866,39.0,1.0,37.95_127.05,37.875_127.125,1,3
221241,35.1294,129.0454,city,35.15,129.05,35.125,129.125,107.5,31.2030961511149,70.0,8.0,14.714245135634142,34.0,3.0,35.15_129.05,35.125_129.125,6,19
437122,35.8507,129.2076,city,35.85,129.25,35.875,129.125,111.2,33.16591189790037,73.0,9.0,17.95924248662001,37.0,6.0,35.85_129.25,35.875_129.125,2,2
633471,36.1728,127.7778,city,36.15,127.75,36.125,127.875,112.7,31.104896052007856,71.0,8.0,17.815331482359316,44.0,3.0,36.15_127.75,36.125_127.875,1,2
221282,35.1744,128.9851,city,35.15,128.95,35.125,128.875,115.0,31.53379767827529,69.0,10.0,18.72112769485904,43.0,5.0,35.15_128.95,35.125_128.875,4,10
131161,37.4786,126.8652,city,37.45,126.85,37.375,126.875,110.5,38.3808109414934,92.0,9.0,19.897907024936107,56.0,2.0,37.45_126.85,37.375_126.875,3,29
735362,35.6738,127.2707,city,35.65,127.25,35.625,127.375,112.9,36.81633757100352,83.0,10.0,18.72761698674601,46.0,3.0,35.65_127.25,35.625_127.375,2,2
131411,37.2345,127.2014,city,37.25,127.25,37.125,127.125,114.1,35.62996655518395,90.0,6.0,22.61892976588629,57.0,4.0,37.25_127.25,37.125_127.125,1,9
132118,37.9054,127.7282,city,37.95,127.75,37.875,127.625,104.4,31.036907111013665,76.0,4.0,13.395965796974348,39.0,1.0,37.95_127.75,37.875_127.625,1,4
823681,37.5027,126.6746,city,37.55,126.65,37.625,126.625,108.9,35.21175811085418,82.0,9.0,20.20376988297947,49.0,5.0,37.55_126.65,37.625_126.625,4,11
131612,37.6762,127.4947,city,37.65,127.45,37.625,127.375,114.1,34.93231674692349,80.0,7.0,18.892121455323704,49.0,3.0,37.65_127.45,37.625_127.375,1,2
735161,35.4373,126.713,city,35.45,126.75,35.375,126.625,111.8,33.16856694203591,78.0,9.0,18.71925991670649,45.0,5.0,35.45_126.75,35.375_126.625,1,2
336112,34.8043,126.4346,city,34.85,126.45,34.875,126.375,106.1,31.15837169159954,72.0,8.0,13.92390678941312,32.0,2.0,34.85_126.45,34.875_126.375,1,4
111273,37.5027,127.0925,city,37.55,127.05,37.625,127.125,113.4,38.04172555353658,84.0,10.0,19.4604616730601,46.0,3.0,37.55_127.05,37.625_127.125,8,25
221283,35.1552,129.023,city,35.15,129.05,35.125,129.125,115.4,32.112638815441564,72.0,8.0,16.914331041776837,41.0,2.0,35.15_129.05,35.125_129.125,6,19
437123,35.8351,129.287,city,35.85,129.25,35.875,129.375,111.9,24.963927719058983,62.0,5.0,14.39727241732015,34.0,3.0,35.85_129.25,35.875_129.375,2,8
131202,37.4491,127.0023,city,37.45,127.05,37.375,127.125,113.2,36.02737693863789,84.0,7.0,17.608361429534728,46.0,2.0,37.45_127.05,37.375_127.125,1,14
131558,37.1665,126.7088,city,37.15,126.75,37.125,126.625,113.7,43.09921460696785,101.0,11.0,23.70853191917836,61.0,5.0,37.15_126.75,37.125_126.625,1,2
238511,35.5675,128.1654,city,35.55,128.15,35.625,128.125,114.3,29.326100020030715,62.0,10.0,17.669092608666624,36.0,5.0,35.55_128.15,35.625_128.125,1,1
735201,35.7972,127.4349,city,35.75,127.45,35.875,127.375,112.5,31.751237707697523,75.0,9.0,17.33238385893523,40.0,4.0,35.75_127.45,35.875_127.375,1,1
111311,37.6574,127.0679,city,37.65,127.05,37.625,127.125,114.6,36.67667421115697,85.0,8.0,21.097989615230997,51.0,3.0,37.65_127.05,37.625_127.125,4,25
437121,35.99,129.3977,city,35.95,129.35,35.875,129.375,102.2,40.88541977890648,95.0,10.0,21.123244696743352,49.0,5.0,35.95_129.35,35.875_129.375,5,8
633472,36.2295,127.9132,city,36.25,127.95,36.125,127.875,112.1,30.42866866321808,71.0,7.0,17.300843996732915,41.0,3.0,36.25_127.95,36.125_127.875,1,2
221281,35.1174,129.0157,city,35.15,129.05,35.125,129.125,113.2,31.622521915037087,69.0,9.0,15.232097100472016,35.0,3.0,35.15_129.05,35.125_129.125,6,19
238129,35.5593,129.2608,city,35.55,129.25,35.625,129.375,115.0,28.59238120520308,61.0,9.0,17.931444119989383,38.0,5.0,35.55_129.25,35.625_129.375,2,12
541114,36.527,127.3703,city,36.55,127.35,36.625,127.375,109.5,39.48411371237458,97.0,9.0,18.35054347826087,51.0,2.0,36.55_127.35,36.625_127.375,1,7
