,aod443,blh,rh,t2m,ws,wd,sp
0,4.35437,1.41589,0.68696,2.48425,1.39582,1.89466,1.93556
1,4.41801,1.7086,0.75568,2.72512,1.13124,1.77808,1.34158
2,3.82411,2.00494,0.55357,1.75153,1.47568,1.51783,0.83528
3,4.57783,1.9079,0.76605,1.70422,1.19062,1.7823,1.26797
4,3.21328,1.92766,0.46406,1.55035,1.16912,1.54162,0.96907
5,4.67009,1.65026,0.77283,2.25321,1.22233,1.68708,0.95581
6,4.45025,1.77486,0.56587,2.20144,1.1587,1.97046,1.23623
7,4.65481,1.89539,0.62625,2.11961,1.04311,1.81764,0.98701
8,4.91434,2.41892,0.60669,2.87272,1.33712,1.70214,1.0859
9,4.57109,2.12924,0.51951,2.62014,0.85259,2.1473,0.56202
10,4.40365,2.19344,0.51888,2.32719,1.16984,1.21182,1.09161
11,4.16892,2.72758,0.77882,3.33469,1.42882,1.21579,1.2036
12,4.26667,2.5288,0.68724,1.88961,1.49617,1.72421,1.1544
13,4.57937,2.45985,0.55222,2.58917,2.14371,1.94704,1.0246
14,4.02223,2.11511,0.5111,1.80553,1.72583,1.1572,1.35502
15,4.46311,1.64261,0.65429,2.58028,1.8309,1.31061,0.9247
16,4.13623,1.35978,0.60097,2.06728,1.57001,1.88639,0.96189
17,3.84266,1.76888,0.54341,2.0105,1.2181,1.9269,0.94781
18,5.29393,2.0856,0.58335,2.68923,2.32106,2.0156,1.18745
19,3.60391,2.14322,0.87223,2.28341,1.21162,1.73991,0.82034
20,4.5612,1.73176,0.72771,2.49809,1.51987,1.89276,1.40369
21,3.71982,2.08927,0.75333,3.02407,1.67284,1.41341,1.25441
22,4.79345,2.28097,0.61637,2.67676,1.22598,1.76363,1.19013
23,3.90638,2.5665,0.65206,2.39056,1.41848,1.14556,1.7829
24,4.85451,1.55298,0.71372,2.59455,1.10427,1.80148,1.45384
25,2.62117,2.39621,0.52875,3.15597,2.09461,0.77978,1.22485
26,3.36959,3.16664,0.83877,4.73382,2.13341,1.09103,1.82446
27,4.31873,1.88783,0.87373,1.00509,1.32718,2.10341,1.11451
28,4.16064,1.40752,0.65853,1.76574,1.18007,2.19777,0.82231
29,3.97282,2.55399,0.66285,2.95063,1.75317,1.2946,1.60317
30,2.93406,3.24459,0.95478,4.83161,2.64567,0.73624,2.36158
31,3.9735,2.35671,0.88535,3.14308,1.25799,0.97878,1.18897
32,4.4679,2.64143,0.81667,3.61162,1.7654,1.08109,1.77929
33,4.26172,2.28359,0.86675,3.54272,1.59951,1.17166,1.67038
34,3.82883,2.69405,0.88856,3.83925,1.77404,1.25951,1.52713
35,4.26864,2.31837,0.66896,3.05512,1.42538,1.26114,1.43488
36,3.7255,2.5332,0.73734,3.69018,1.41896,0.94705,1.43916
37,4.1884,2.59447,0.73116,3.58462,1.26906,1.98451,0.99441
38,3.82229,3.02167,0.55728,3.18993,1.49539,1.69994,0.86044
39,3.71194,1.5146,0.92541,2.17727,0.8163,1.37855,0.829
40,4.83438,2.29212,0.65517,2.60482,1.62651,1.12411,0.75972
