,aod443,blh,rh,t2m,ws,wd,sp
0,3.4591,3.97034,3.01268,5.25483,1.33722,5.98612,2.02272
1,6.60349,0.67543,1.92528,4.02676,0.84807,2.9201,1.93901
2,4.78253,1.52264,1.60406,3.48551,1.43523,1.74494,2.22321
3,4.1644,1.52354,2.41446,3.17121,1.76932,1.50907,1.66462
4,5.21043,1.62602,2.15366,2.52343,1.17465,2.00091,1.87758
5,4.6768,5.40164,2.03526,6.03808,1.73274,2.24749,2.4698
6,6.56401,1.58799,1.9612,3.50147,1.79331,1.13249,1.3577
7,6.93031,3.26262,1.56313,4.97861,2.021,1.58219,2.44969
8,5.00543,1.40351,3.32696,4.4246,1.14877,2.18783,1.21932
9,4.49003,4.69208,1.82266,3.3338,2.69865,2.27458,2.63136
10,5.99708,1.94761,2.28105,4.80508,1.8113,2.17295,1.85157
11,5.17992,1.90683,1.76362,4.03834,1.613,0.90396,1.57576
12,4.8035,1.14813,1.5628,5.60261,1.54112,1.81815,2.26835
13,5.95163,2.23721,2.73968,4.16847,0.77978,2.04451,2.39921
14,5.62582,2.36608,2.62471,3.51304,1.62639,2.08753,2.28901
15,4.45564,1.673,2.47226,2.52934,1.0044,1.50076,1.6373
16,3.77703,2.00416,2.15961,3.83617,1.59436,2.20217,1.85642
17,5.54472,5.16162,1.83286,7.05917,1.73177,2.47754,2.54876
18,3.85647,0.84922,1.68438,1.75383,1.81218,1.62851,1.40119
19,4.57312,1.88766,2.15962,3.69315,1.90095,1.49444,2.18187
20,5.99822,1.76985,2.23567,3.71941,0.8822,3.05142,2.07543
21,4.40508,2.35674,2.37258,4.98384,1.52118,1.21915,1.68922
22,4.88608,1.23482,1.89093,3.93798,1.67926,1.10002,1.65956
23,6.27669,1.80769,2.31767,3.41031,0.86664,1.86726,2.23201
24,4.25382,1.11951,2.18186,3.4713,1.44797,1.48966,1.46477
25,5.94003,7.05981,1.77966,5.30899,2.28752,2.01473,3.21737
26,4.34476,3.60185,1.3853,3.75212,3.50332,2.44113,1.36566
27,3.66953,1.66103,1.23415,2.49818,1.6022,2.54774,1.43392
28,4.00613,3.1455,1.37879,2.162,1.50577,1.67735,2.25146
29,4.22269,2.30675,1.57942,3.08256,1.79391,0.91789,2.15586
30,5.98697,3.09688,2.68261,4.04683,1.20631,2.64586,2.26158
31,7.17545,3.79161,1.97916,5.2879,1.6941,2.21511,2.42972
32,5.58137,2.73101,2.07454,3.87275,0.84921,1.46627,1.59998
33,5.88327,3.17221,2.36688,5.24414,1.54149,2.3884,2.42047
34,4.86979,4.34511,1.54538,4.84125,2.13563,2.40854,2.09315
35,5.01623,3.28805,1.26515,5.39576,1.67402,1.0547,2.16009
36,2.41772,1.93785,2.07324,3.86932,3.57422,2.16212,1.70199
37,4.94051,2.5014,1.94621,5.37785,1.74938,2.2485,2.24181
38,6.56662,1.26522,3.18749,4.9096,1.00935,1.99251,1.88484
39,3.97578,3.55416,1.83747,3.88991,1.64287,0.86789,2.13946
40,6.30823,1.52039,1.75694,6.81256,2.07255,1.22089,2.79511
41,3.10507,1.58659,1.85135,3.1917,0.96489,2.49659,2.35953
42,4.50927,1.61637,1.76541,3.83665,2.0988,2.40617,1.50208
43,5.94382,2.60145,2.96978,5.53383,1.33526,2.85839,2.39872
44,5.53016,1.8465,1.84317,4.31717,2.01825,1.32783,2.4039
45,2.61126,3.66213,1.92722,3.89598,2.3439,2.19489,2.04138
46,5.50147,2.12399,1.64999,4.21296,1.91457,2.30496,1.61139
47,6.73489,2.2803,1.35538,3.86783,1.05402,3.25128,2.77195
48,4.82833,1.50324,1.61445,3.89783,1.59101,1.76378,1.53382
49,4.98294,1.54348,2.27324,2.77921,1.33424,2.82866,1.96568
50,6.68141,1.6384,1.41854,3.65217,0.99928,1.44332,1.73528
51,4.65647,1.71602,2.43695,3.75415,1.98891,1.92652,1.41032
52,6.1845,1.50581,2.2474,4.18302,1.66857,2.40681,1.60529
53,6.20737,2.14854,2.14343,3.20083,1.23501,1.4104,2.14712
54,5.13742,12.19151,2.69648,7.16184,6.27004,3.13705,3.30862
55,6.37544,2.03072,1.91159,4.65725,1.25628,3.4321,2.32176
56,6.67965,1.72388,2.52876,3.66072,1.12758,3.00633,1.65202
57,5.41332,4.05269,1.97229,3.56397,2.29524,1.60955,1.76617
