idx,corr1,corr2,corr4,corr8,rmse1,rmse2,rmse4,rmse8,slp1,slp2,slp4,slp8,re1,re2,re4,re8
111121,0.58,0.61,0.64,0.66,23.27,22.89,22.06,21.76,0.27,0.31,0.37,0.41,0.48,0.53,0.51,0.52
111123,0.65,0.68,0.7,0.72,18.32,17.34,16.98,16.64,0.41,0.45,0.49,0.51,0.48,0.41,0.42,0.4
111131,0.54,0.57,0.62,0.65,26.46,25.89,24.31,23.72,0.24,0.28,0.35,0.37,0.32,0.3,0.32,0.3
111141,0.62,0.64,0.67,0.7,22.59,21.94,21.31,20.45,0.32,0.36,0.39,0.42,0.46,0.42,0.41,0.38
111142,0.62,0.63,0.67,0.69,22.42,22.03,20.92,20.31,0.32,0.34,0.39,0.44,0.32,0.3,0.3,0.31
111151,0.59,0.64,0.67,0.67,22.5,21.54,20.78,20.86,0.35,0.36,0.41,0.41,0.41,0.36,0.36,0.35
111152,0.61,0.63,0.68,0.72,23.11,22.38,21.16,20.19,0.29,0.34,0.39,0.43,0.31,0.31,0.32,0.29
111161,0.66,0.68,0.7,0.71,21.8,21.34,20.8,20.62,0.34,0.36,0.4,0.41,0.45,0.41,0.39,0.36
111171,0.61,0.64,0.65,0.63,24.26,22.85,22.69,22.83,0.37,0.38,0.41,0.38,0.64,0.54,0.52,0.49
111181,0.54,0.57,0.6,0.64,31.0,30.79,30.25,28.93,0.24,0.25,0.26,0.31,0.45,0.39,0.38,0.38
111191,0.58,0.62,0.65,0.66,28.06,27.17,26.77,26.07,0.3,0.3,0.3,0.33,0.54,0.41,0.38,0.4
111201,0.55,0.55,0.62,0.66,22.62,22.43,21.02,20.41,0.26,0.3,0.38,0.43,0.36,0.37,0.35,0.37
111212,0.59,0.62,0.62,0.64,26.77,25.63,25.61,25.06,0.28,0.34,0.34,0.36,0.34,0.36,0.36,0.35
111221,0.59,0.61,0.66,0.69,28.36,27.01,25.91,25.09,0.24,0.28,0.32,0.36,0.4,0.41,0.4,0.38
111231,0.65,0.66,0.7,0.7,21.16,20.06,19.21,18.94,0.45,0.43,0.47,0.48,0.46,0.4,0.37,0.35
111241,0.56,0.63,0.66,0.68,24.06,22.29,21.4,20.9,0.36,0.39,0.38,0.41,0.48,0.41,0.36,0.33
111251,0.59,0.63,0.64,0.66,23.82,22.86,22.88,22.12,0.34,0.36,0.34,0.39,0.4,0.37,0.32,0.34
111261,0.63,0.66,0.68,0.7,21.8,21.42,20.95,20.1,0.34,0.4,0.45,0.46,0.44,0.47,0.46,0.39
111262,0.57,0.64,0.68,0.69,30.65,29.22,28.59,28.13,0.24,0.28,0.3,0.33,0.41,0.38,0.35,0.33
111273,0.56,0.61,0.62,0.64,26.19,25.43,24.76,23.98,0.25,0.28,0.3,0.33,0.29,0.28,0.28,0.27
111274,0.62,0.67,0.69,0.69,23.32,22.03,21.41,21.16,0.31,0.38,0.4,0.42,0.41,0.44,0.41,0.4
111281,0.54,0.61,0.65,0.68,23.13,20.36,19.93,18.79,0.41,0.44,0.48,0.5,0.63,0.55,0.54,0.49
111291,0.53,0.55,0.62,0.65,30.91,30.09,28.35,27.74,0.24,0.26,0.32,0.34,0.36,0.36,0.36,0.35
111301,0.63,0.65,0.67,0.68,23.65,22.86,22.26,22.06,0.34,0.35,0.41,0.44,0.49,0.41,0.42,0.43
111311,0.54,0.62,0.65,0.64,26.32,24.62,24.05,24.07,0.28,0.35,0.39,0.38,0.42,0.42,0.43,0.41
131111,0.51,0.57,0.58,0.62,26.13,25.03,24.61,23.71,0.28,0.3,0.33,0.37,0.39,0.38,0.39,0.35
131112,0.59,0.65,0.68,0.7,25.81,24.32,23.57,23.01,0.26,0.31,0.36,0.4,0.54,0.47,0.47,0.47
131113,0.53,0.56,0.6,0.64,27.56,26.85,26.23,25.07,0.27,0.3,0.31,0.37,0.45,0.44,0.43,0.4
131114,0.58,0.6,0.64,0.67,24.43,24.09,23.05,22.46,0.34,0.33,0.39,0.45,0.43,0.41,0.41,0.42
131115,0.59,0.64,0.63,0.66,26.23,24.88,24.74,23.96,0.3,0.34,0.36,0.41,0.37,0.37,0.39,0.37
131117,0.61,0.63,0.65,0.67,28.62,27.95,27.79,27.87,0.31,0.3,0.31,0.32,inf,inf,inf,inf
131121,0.56,0.63,0.62,0.62,24.63,23.37,23.58,23.35,0.29,0.32,0.33,0.35,inf,inf,inf,inf
131123,0.63,0.65,0.67,0.69,24.35,23.75,22.99,22.37,0.31,0.35,0.36,0.4,inf,inf,inf,inf
131124,0.6,0.65,0.68,0.69,24.66,23.66,22.43,22.19,0.32,0.36,0.41,0.42,inf,inf,inf,inf
131126,0.58,0.6,0.61,0.64,22.55,22.17,22.1,21.47,0.31,0.34,0.35,0.38,0.39,0.38,0.4,0.36
131128,0.62,0.66,0.7,0.72,24.55,23.14,21.83,21.51,0.31,0.35,0.42,0.44,inf,inf,inf,inf
131129,0.61,0.62,0.68,0.69,23.61,23.39,22.14,21.7,0.32,0.32,0.37,0.4,0.44,0.43,0.39,0.36
131131,0.53,0.56,0.55,0.55,27.91,27.25,27.42,27.46,0.26,0.27,0.27,0.29,0.54,0.48,0.44,0.45
131132,0.53,0.59,0.59,0.57,29.34,28.17,28.12,28.21,0.24,0.28,0.3,0.31,0.38,0.37,0.35,0.37
131133,0.52,0.56,0.59,0.6,28.03,27.16,26.34,26.2,0.26,0.3,0.32,0.34,inf,inf,inf,inf
131141,0.54,0.61,0.66,0.7,27.17,25.82,24.18,23.03,0.27,0.32,0.41,0.43,0.55,0.52,0.46,0.42
131142,0.59,0.62,0.65,0.7,26.47,24.98,24.47,23.42,0.29,0.36,0.38,0.4,inf,inf,inf,inf
131144,0.65,0.67,0.72,0.72,29.0,28.61,27.24,27.31,0.3,0.33,0.36,0.37,inf,inf,inf,inf
131145,0.59,0.59,0.66,0.69,26.95,26.46,24.51,23.77,0.26,0.28,0.37,0.4,0.37,0.39,0.37,0.36
131161,0.6,0.64,0.66,0.68,22.98,21.93,21.76,21.09,0.34,0.4,0.38,0.41,0.4,0.38,0.33,0.33
131163,0.53,0.59,0.68,0.72,30.49,28.1,25.82,24.54,0.19,0.26,0.33,0.37,0.32,0.32,0.32,0.31
131191,0.64,0.68,0.7,0.71,25.1,23.97,23.2,22.58,0.29,0.36,0.41,0.44,0.51,0.57,0.54,0.51
131192,0.6,0.62,0.66,0.69,27.74,27.38,27.04,26.24,0.32,0.33,0.35,0.38,0.4,0.33,0.3,0.29
131193,0.55,0.59,0.64,0.65,26.51,25.59,24.36,24.33,0.24,0.3,0.36,0.39,inf,inf,inf,inf
131194,0.61,0.63,0.65,0.7,28.72,28.62,29.06,26.8,0.3,0.32,0.31,0.39,0.41,0.35,0.32,0.31
131195,0.65,0.65,0.69,0.71,22.36,22.2,21.3,20.99,0.37,0.36,0.42,0.46,0.45,0.43,0.45,0.46
131196,0.13,0.51,0.54,0.56,33.77,31.45,31.24,30.04,0.06,0.32,0.34,0.36,0.78,0.89,0.89,0.82
131197,0.6,0.66,0.7,0.71,22.06,21.01,20.18,20.1,0.36,0.42,0.47,0.5,0.42,0.42,0.43,0.43
131201,0.66,0.7,0.71,0.72,23.98,23.03,22.47,21.59,0.32,0.37,0.42,0.44,0.59,0.58,0.55,0.46
131202,0.54,0.58,0.6,0.62,26.49,25.67,25.02,24.47,0.28,0.29,0.34,0.36,0.43,0.43,0.47,0.44
131211,0.58,0.64,0.64,0.66,27.24,25.68,25.63,25.24,0.32,0.34,0.34,0.34,0.52,0.44,0.44,0.4
131212,0.61,0.62,0.65,0.68,29.98,29.65,29.49,28.64,0.28,0.29,0.29,0.32,inf,inf,inf,inf
131222,0.57,0.62,0.63,0.67,26.61,25.86,25.36,24.41,0.27,0.3,0.34,0.4,inf,inf,inf,inf
131223,0.61,0.62,0.65,0.67,23.03,22.84,21.88,21.53,0.35,0.4,0.42,0.42,0.48,0.47,0.42,0.41
131231,0.59,0.66,0.69,0.71,27.9,25.85,24.83,24.25,0.32,0.39,0.42,0.44,0.54,0.46,0.45,0.42
131232,0.67,0.68,0.69,0.7,29.37,28.61,28.33,27.95,0.33,0.37,0.37,0.39,0.39,0.39,0.38,0.38
131233,0.58,0.61,0.63,0.66,26.43,25.57,25.18,24.41,0.28,0.33,0.35,0.38,0.52,0.52,0.49,0.49
131234,0.54,0.62,0.67,0.69,27.02,25.08,23.97,23.11,0.31,0.34,0.36,0.42,0.47,0.41,0.34,0.34
131235,0.57,0.61,0.67,0.71,27.77,26.96,25.26,24.33,0.27,0.29,0.36,0.39,0.5,0.42,0.38,0.33
131237,0.69,0.71,0.73,0.73,25.79,25.21,24.29,23.94,0.35,0.38,0.41,0.43,0.41,0.38,0.38,0.38
131241,0.58,0.59,0.61,0.63,23.83,23.46,23.0,22.74,0.3,0.32,0.36,0.38,inf,inf,inf,inf
131242,0.54,0.61,0.63,0.66,25.19,23.73,23.19,22.45,0.27,0.31,0.36,0.39,inf,inf,inf,inf
131243,0.62,0.64,0.67,0.66,25.81,25.05,24.45,24.7,0.31,0.36,0.37,0.36,0.42,0.44,0.4,0.39
131244,0.56,0.63,0.66,0.64,26.97,25.63,24.8,25.18,0.3,0.34,0.36,0.36,0.47,0.41,0.43,0.43
131246,0.57,0.61,0.63,0.65,25.65,23.88,23.6,22.98,0.32,0.35,0.37,0.39,0.61,0.46,0.41,0.41
131247,0.55,0.61,0.61,0.63,24.45,23.49,23.11,22.52,0.29,0.32,0.35,0.38,0.4,0.36,0.37,0.36
131341,0.59,0.67,0.7,0.72,29.73,27.87,26.69,26.01,0.32,0.38,0.41,0.43,0.43,0.33,0.32,0.32
131342,0.65,0.68,0.72,0.72,28.78,27.39,26.33,26.14,0.32,0.39,0.41,0.41,0.34,0.4,0.35,0.33
131343,0.63,0.66,0.67,0.71,36.45,35.92,33.79,33.87,0.29,0.32,0.35,0.36,0.35,0.33,0.37,0.33
131344,0.61,0.67,0.68,0.7,28.51,27.41,26.43,25.85,0.31,0.34,0.37,0.39,0.36,0.33,0.34,0.33
131345,0.65,0.68,0.71,0.73,27.22,27.28,25.28,24.56,0.36,0.43,0.43,0.45,0.51,0.58,0.45,0.43
131346,0.65,0.68,0.71,0.72,26.1,25.51,24.16,23.89,0.37,0.4,0.44,0.48,0.57,0.56,0.49,0.5
131371,0.43,0.42,0.44,0.45,24.32,24.35,23.83,23.82,0.25,0.25,0.25,0.27,inf,inf,inf,inf
131372,0.42,0.5,0.55,0.57,31.53,30.21,28.95,28.41,0.15,0.2,0.26,0.3,0.48,0.48,0.5,0.49
131374,0.43,0.49,0.56,0.64,29.25,28.9,27.17,25.16,0.19,0.24,0.28,0.34,0.64,0.71,0.63,0.54
131381,0.46,0.51,0.58,0.63,31.5,30.52,29.04,28.01,0.18,0.23,0.28,0.3,0.53,0.56,0.52,0.47
131382,0.43,0.49,0.56,0.55,32.78,31.65,30.37,30.38,0.16,0.2,0.25,0.26,0.45,0.48,0.41,0.42
131384,0.54,0.53,0.59,0.64,27.47,28.04,26.37,25.1,0.28,0.28,0.33,0.37,0.49,0.54,0.46,0.39
131385,0.47,0.54,0.61,0.64,26.02,25.06,23.38,22.71,0.24,0.27,0.33,0.36,0.56,0.56,0.5,0.48
131392,0.65,0.67,0.69,0.71,24.23,23.71,22.93,22.41,0.34,0.36,0.41,0.44,0.36,0.35,0.37,0.35
