idx,corr0,corr1,corr2,corr4,corr8,corr16,rmse0,rmse1,rmse2,rmse4,rmse8,rmse16,slp0,slp1,slp2,slp4,slp8,slp16
131571,0.59,0.64,0.68,0.69,0.73,0.74,27.03,25.73,24.91,24.52,23.82,23.57,0.29,0.34,0.36,0.38,0.4,0.41
221241,0.73,0.88,0.88,0.9,0.89,0.88,17.0,12.17,12.05,11.12,11.34,11.45,0.4,0.61,0.62,0.67,0.74,0.75
437122,0.64,0.71,0.79,0.81,0.8,0.83,16.04,15.17,13.87,12.89,12.95,12.0,0.37,0.4,0.47,0.51,0.51,0.56
633471,0.66,0.72,0.76,0.8,0.79,0.8,16.42,15.33,14.37,13.58,13.58,13.22,0.34,0.4,0.44,0.51,0.51,0.53
221282,0.7,0.75,0.86,0.91,0.91,0.92,15.94,15.25,11.49,9.22,8.92,8.74,0.38,0.46,0.62,0.78,0.79,0.8
131161,0.64,0.87,0.88,0.94,0.94,0.94,22.88,15.89,15.34,12.42,11.95,11.8,0.34,0.57,0.58,0.7,0.72,0.73
735362,0.61,0.73,0.77,0.81,0.82,0.82,19.34,17.08,16.22,15.26,14.83,14.9,0.29,0.39,0.43,0.47,0.5,0.49
131411,0.69,0.74,0.82,0.89,0.9,0.92,19.84,18.85,16.56,14.37,13.95,11.95,0.39,0.42,0.52,0.66,0.64,0.74
132118,0.66,0.87,0.91,0.91,0.92,0.91,17.42,12.21,10.98,10.58,10.2,10.25,0.35,0.58,0.62,0.64,0.66,0.68
823681,0.63,0.84,0.92,0.94,0.93,0.93,21.29,15.55,11.48,10.07,10.18,10.11,0.32,0.57,0.76,0.85,0.88,0.89
131612,0.69,0.82,0.86,0.87,0.87,0.87,17.65,14.58,12.93,12.29,12.34,12.19,0.4,0.54,0.6,0.65,0.65,0.64
735161,0.51,0.62,0.65,0.73,0.75,0.74,20.98,19.25,18.66,17.1,16.46,16.73,0.26,0.35,0.37,0.44,0.47,0.46
336112,0.49,0.81,0.85,0.85,0.85,0.85,24.19,16.75,15.72,15.57,15.13,15.32,0.22,0.61,0.67,0.67,0.67,0.65
111273,0.63,0.78,0.87,0.93,0.94,0.95,20.1,17.45,14.98,11.59,10.79,10.28,0.32,0.44,0.58,0.71,0.76,0.79
221283,0.7,0.73,0.77,0.9,0.91,0.91,16.6,15.89,15.17,10.43,9.79,10.03,0.4,0.43,0.47,0.68,0.71,0.73
437123,0.59,0.65,0.7,0.7,0.73,0.74,16.39,15.63,15.21,15.42,14.98,14.86,0.3,0.36,0.41,0.4,0.43,0.44
131202,0.58,0.82,0.85,0.89,0.89,0.9,22.17,15.83,14.66,12.59,12.16,11.5,0.26,0.56,0.61,0.72,0.74,0.81
131558,0.7,0.77,0.76,0.81,0.79,0.77,25.12,23.17,23.32,22.37,22.98,23.33,0.38,0.43,0.43,0.46,0.44,0.44
238511,0.62,0.69,0.69,0.72,0.77,0.76,14.83,13.88,13.81,13.27,12.22,12.49,0.32,0.36,0.37,0.41,0.52,0.53
735201,0.64,0.71,0.76,0.77,0.79,0.79,17.92,16.56,15.54,15.11,14.57,14.79,0.33,0.4,0.44,0.47,0.49,0.47
111311,0.61,0.82,0.94,0.95,0.95,0.96,21.61,16.02,9.26,8.87,8.45,7.63,0.31,0.54,0.85,0.88,0.9,0.92
