idx,lat,lon,M0corr,M1corr,M2corr,M3corr,RFcorr,XGBcorr,M0rmse,M1rmse,M2rmse,M3rmse,RFrmse,XGBrmse,M0slp,M1slp,M2slp,M3slp,RFslp,XGBslp,M0re,M1re,M2re,M3re,RFre,XGBre
111121,37.5643,126.9747,0.45,0.28,0.34,0.34,0.6,0.59,25.27,27.13,26.54,26.59,22.75,22.8,0.2,0.08,0.12,0.12,0.31,0.36,0.52,0.66,0.6,0.6,0.44,0.44
131111,37.2838,127.0105,0.41,0.13,0.26,0.27,0.6,0.56,27.59,30.02,29.24,29.16,24.47,25.11,0.17,0.02,0.07,0.08,0.29,0.32,0.46,0.55,0.5,0.5,0.39,0.39
221112,35.0999,129.0305,0.39,0.22,0.26,0.28,0.74,0.72,27.73,29.42,29.11,28.94,20.75,21.04,0.15,0.05,0.07,0.08,0.45,0.46,0.61,0.7,0.68,0.69,0.48,0.48
221141,35.0598,129.0799,0.33,0.27,0.32,0.35,0.76,0.71,38.39,39.2,38.53,38.19,27.47,28.87,0.11,0.08,0.11,0.13,0.44,0.46,0.66,0.68,0.65,0.68,0.52,0.54
221142,35.0908,129.0596,0.38,0.22,0.26,0.27,0.75,0.74,30.35,32.07,31.72,31.61,22.55,22.41,0.15,0.05,0.07,0.08,0.42,0.47,0.65,0.74,0.71,0.74,0.48,0.49
221152,35.156,129.0638,0.42,0.19,0.33,0.34,0.75,0.75,29.48,31.84,30.56,30.45,22.07,21.65,0.17,0.04,0.11,0.12,0.44,0.52,0.53,0.64,0.56,0.57,0.4,0.41
221172,35.1303,129.0877,0.39,0.21,0.24,0.3,0.69,0.7,31.08,33.03,32.73,32.22,24.73,24.07,0.15,0.04,0.06,0.09,0.41,0.46,0.55,0.61,0.6,0.6,0.42,0.42
221174,35.1279,129.116,0.42,0.2,0.22,0.29,0.77,0.76,31.76,34.28,34.11,33.43,23.55,23.24,0.18,0.04,0.05,0.09,0.42,0.48,0.69,0.79,0.79,0.83,0.55,0.56
221181,35.1462,128.9842,0.37,0.19,0.26,0.27,0.73,0.71,31.4,33.22,32.71,32.59,23.42,23.91,0.14,0.04,0.07,0.08,0.45,0.49,0.47,0.52,0.5,0.51,0.35,0.38
221182,35.2078,129.0062,0.39,0.18,0.24,0.24,0.71,0.72,26.43,28.23,27.85,27.86,20.59,19.97,0.15,0.03,0.06,0.06,0.4,0.49,0.47,0.54,0.52,0.53,0.37,0.37
221191,35.2755,129.0895,0.41,0.22,0.25,0.27,0.78,0.78,26.09,27.95,27.72,27.54,18.94,18.16,0.17,0.05,0.07,0.08,0.44,0.54,0.65,0.75,0.75,0.76,0.48,0.48
221192,35.1706,129.1742,0.43,0.22,0.28,0.3,0.76,0.75,28.5,30.77,30.32,30.08,21.44,21.05,0.18,0.05,0.08,0.1,0.43,0.5,0.58,0.69,0.67,0.69,0.44,0.44
221193,35.1832,129.121,0.41,0.21,0.27,0.29,0.75,0.77,30.49,32.64,32.19,31.95,22.8,21.64,0.17,0.05,0.08,0.09,0.44,0.53,0.6,0.69,0.66,0.68,0.44,0.45
221202,35.083,128.9669,0.38,0.17,0.28,0.31,0.74,0.73,29.01,30.93,30.14,29.79,21.45,21.42,0.14,0.03,0.08,0.1,0.44,0.5,0.46,0.53,0.49,0.49,0.36,0.36
221211,35.2087,128.9731,0.39,0.18,0.21,0.22,0.73,0.71,26.5,28.25,28.08,28.0,20.25,20.26,0.15,0.03,0.05,0.06,0.41,0.45,0.65,0.71,0.7,0.71,0.49,0.5
221212,35.0864,128.8631,0.39,0.2,0.27,0.28,0.69,0.69,28.17,29.95,29.43,29.37,22.34,22.14,0.15,0.04,0.08,0.08,0.4,0.46,0.58,0.64,0.61,0.62,0.46,0.47
221213,35.1066,128.9265,0.39,0.19,0.28,0.29,0.7,0.72,28.19,30.08,29.39,29.35,22.04,21.44,0.15,0.04,0.08,0.09,0.43,0.48,0.54,0.62,0.57,0.58,0.41,0.41
221221,35.1811,129.0746,0.39,0.25,0.28,0.3,0.76,0.73,26.91,28.31,28.02,27.87,19.46,20.05,0.15,0.06,0.08,0.09,0.46,0.48,0.59,0.65,0.64,0.64,0.44,0.45
221231,35.2387,129.2158,0.41,0.24,0.31,0.34,0.73,0.74,28.68,30.55,29.93,29.64,22.06,21.31,0.17,0.06,0.1,0.12,0.42,0.49,0.61,0.69,0.67,0.69,0.47,0.48
221233,35.3256,129.1802,0.41,0.22,0.26,0.31,0.77,0.76,28.32,30.25,29.91,29.53,20.31,20.4,0.17,0.05,0.07,0.1,0.47,0.51,0.61,0.69,0.69,0.7,0.49,0.48
221241,35.1294,129.0454,0.39,0.31,0.33,0.34,0.78,0.78,27.32,28.26,28.1,27.91,18.67,18.7,0.15,0.1,0.11,0.13,0.54,0.57,0.62,0.66,0.65,0.67,0.45,0.45
221251,35.2298,129.0927,0.44,0.13,0.25,0.31,0.78,0.77,23.12,25.51,24.94,24.43,16.82,16.43,0.19,0.02,0.06,0.1,0.47,0.54,0.49,0.62,0.57,0.59,0.42,0.42
221253,35.2295,129.1208,0.4,0.13,0.19,0.24,0.75,0.77,27.52,29.77,29.49,29.15,20.48,19.5,0.16,0.02,0.04,0.06,0.44,0.51,0.66,0.78,0.75,0.76,0.5,0.5
221281,35.1174,129.0157,0.43,0.25,0.32,0.32,0.66,0.66,23.43,25.18,24.59,24.58,19.79,19.61,0.19,0.06,0.11,0.11,0.35,0.4,0.5,0.59,0.54,0.54,0.4,0.41
221282,35.1744,128.9851,0.37,0.23,0.26,0.27,0.7,0.72,26.22,27.39,27.22,27.15,20.44,19.65,0.13,0.06,0.07,0.08,0.4,0.47,0.51,0.54,0.53,0.54,0.38,0.38
221283,35.1552,129.023,0.37,0.24,0.29,0.3,0.77,0.76,28.12,29.4,29.0,28.9,19.99,19.86,0.14,0.06,0.09,0.1,0.47,0.52,0.54,0.59,0.57,0.56,0.4,0.4
221284,35.1052,128.9737,0.38,0.23,0.28,0.29,0.71,0.71,26.46,27.8,27.4,27.36,20.28,20.26,0.14,0.05,0.08,0.09,0.43,0.46,0.53,0.57,0.55,0.55,0.4,0.39
238111,35.2181,128.5739,0.41,0.23,0.26,0.26,0.63,0.64,23.33,24.9,24.68,24.67,20.1,19.74,0.17,0.05,0.07,0.07,0.33,0.39,0.5,0.53,0.53,0.53,0.39,0.39
238112,35.2176,128.6025,0.4,0.22,0.27,0.26,0.68,0.67,24.71,26.31,25.99,26.02,20.04,19.95,0.16,0.05,0.07,0.07,0.37,0.44,0.57,0.63,0.61,0.61,0.42,0.42
238113,35.2259,128.5033,0.41,0.18,0.26,0.27,0.6,0.61,22.63,24.45,23.99,23.94,20.13,19.77,0.17,0.03,0.07,0.08,0.29,0.36,0.59,0.67,0.64,0.63,0.5,0.5
238120,35.5028,129.4184,0.35,0.19,0.25,0.25,0.7,0.71,32.05,33.65,33.22,33.17,25.44,24.49,0.13,0.04,0.06,0.07,0.35,0.44,0.6,0.67,0.65,0.67,0.46,0.45
238121,35.5563,129.3205,0.38,0.2,0.23,0.24,0.71,0.73,29.27,31.03,30.85,30.82,23.09,21.9,0.15,0.04,0.06,0.06,0.36,0.46,0.54,0.58,0.58,0.6,0.41,0.41
238122,35.4973,129.339,0.43,0.25,0.3,0.33,0.74,0.73,34.46,36.93,36.31,35.94,26.54,26.11,0.18,0.06,0.09,0.11,0.42,0.48,0.6,0.72,0.68,0.69,0.47,0.46
238123,35.5156,129.3671,0.31,0.08,0.23,0.29,0.59,0.57,46.9,49.2,48.04,47.27,39.97,40.41,0.1,0.01,0.06,0.09,0.31,0.34,0.69,0.76,0.74,0.72,0.56,0.56
238124,35.529,129.3262,0.4,0.25,0.28,0.31,0.73,0.74,30.67,32.43,32.13,31.86,23.55,22.8,0.16,0.06,0.08,0.1,0.41,0.49,0.55,0.6,0.59,0.61,0.4,0.4
238125,35.5444,129.3318,0.35,0.2,0.24,0.26,0.72,0.76,31.57,33.02,32.74,32.55,24.26,22.47,0.12,0.04,0.06,0.07,0.38,0.48,0.57,0.6,0.58,0.59,0.4,0.39
238127,35.5347,129.3081,0.37,0.22,0.26,0.29,0.75,0.77,31.36,32.93,32.63,32.35,23.18,21.82,0.14,0.05,0.07,0.09,0.42,0.51,0.53,0.55,0.54,0.57,0.4,0.39
238128,35.4363,129.3079,0.38,0.18,0.22,0.28,0.77,0.79,33.23,35.34,35.03,34.51,24.07,22.61,0.14,0.03,0.05,0.08,0.44,0.52,0.58,0.65,0.65,0.66,0.46,0.44
238129,35.5593,129.2608,0.38,0.22,0.25,0.26,0.77,0.77,26.44,27.88,27.73,27.66,19.07,18.43,0.15,0.05,0.06,0.07,0.44,0.53,0.54,0.57,0.57,0.58,0.4,0.4
238130,35.5595,129.3711,0.37,0.19,0.24,0.27,0.75,0.77,34.62,36.68,36.26,36.0,25.87,24.16,0.14,0.04,0.06,0.08,0.41,0.5,0.55,0.59,0.58,0.6,0.4,0.39
238131,35.1959,128.0745,0.41,0.2,0.27,0.26,0.55,0.55,25.39,27.3,26.85,26.88,23.37,23.31,0.17,0.04,0.08,0.08,0.25,0.28,0.66,0.79,0.75,0.75,0.54,0.54
238132,35.1921,128.0837,0.34,0.2,0.26,0.27,0.57,0.54,25.26,26.3,25.91,25.87,22.3,22.63,0.11,0.04,0.07,0.08,0.26,0.29,0.61,0.65,0.64,0.64,0.49,0.49
238133,35.1809,128.1225,0.36,0.23,0.26,0.26,0.61,0.6,21.44,22.33,22.13,22.16,18.47,18.45,0.13,0.05,0.07,0.07,0.29,0.35,0.51,0.53,0.51,0.51,0.4,0.4
238134,35.1248,128.0997,0.38,0.22,0.27,0.28,0.58,0.59,25.09,26.42,26.07,26.05,22.17,21.85,0.14,0.05,0.08,0.08,0.28,0.34,0.57,0.61,0.6,0.6,0.46,0.45
238141,35.2403,128.644,0.41,0.26,0.29,0.31,0.63,0.62,21.04,22.24,22.04,21.96,18.11,18.16,0.17,0.07,0.09,0.1,0.33,0.37,0.6,0.63,0.61,0.62,0.47,0.47
238142,35.2115,128.6575,0.39,0.28,0.29,0.29,0.65,0.64,19.4,20.24,20.15,20.15,16.21,16.16,0.15,0.08,0.09,0.09,0.35,0.4,0.49,0.51,0.5,0.5,0.39,0.39
238143,35.1994,128.7111,0.41,0.18,0.21,0.22,0.58,0.61,19.99,21.53,21.4,21.32,17.88,17.41,0.16,0.03,0.04,0.05,0.28,0.35,0.55,0.59,0.59,0.58,0.45,0.47
238144,35.2363,128.684,0.42,0.26,0.28,0.29,0.66,0.67,25.26,26.83,26.68,26.66,21.18,20.66,0.18,0.07,0.08,0.09,0.35,0.42,0.59,0.65,0.64,0.64,0.46,0.45
