idx,lat,lon,M0corr,M1corr,M2corr,M3corr,RFcorr,XGBcorr,M0rmse,M1rmse,M2rmse,M3rmse,RFrmse,XGBrmse,M0slp,M1slp,M2slp,M3slp,RFslp,XGBslp
111121,37.5643,126.9747,0.45,0.41,0.49,0.52,0.73,0.71,13.72,14.0,13.4,13.16,10.55,10.82,0.2,0.17,0.24,0.27,0.46,0.5
131111,37.2838,127.0105,0.35,0.26,0.46,0.52,0.68,0.65,13.74,14.19,13.03,12.56,10.83,11.2,0.12,0.07,0.22,0.27,0.42,0.45
221112,35.0999,129.0305,0.31,0.37,0.41,0.42,0.73,0.72,11.7,11.43,11.21,11.16,8.49,8.59,0.09,0.14,0.17,0.18,0.45,0.5
221141,35.0598,129.0799,0.37,0.52,0.58,0.59,0.74,0.75,10.17,9.36,8.89,8.8,7.48,7.29,0.14,0.28,0.35,0.36,0.47,0.54
221142,35.0908,129.0596,0.29,0.38,0.43,0.44,0.72,0.71,12.0,11.62,11.35,11.27,8.77,8.88,0.09,0.14,0.19,0.2,0.44,0.49
221152,35.156,129.0638,0.36,0.3,0.43,0.46,0.71,0.7,10.62,10.85,10.24,10.06,8.14,8.12,0.13,0.09,0.19,0.22,0.41,0.48
221172,35.1303,129.0877,0.31,0.37,0.41,0.43,0.71,0.69,10.94,10.71,10.49,10.39,8.25,8.31,0.1,0.14,0.18,0.19,0.41,0.45
221174,35.1279,129.116,0.25,0.34,0.36,0.39,0.67,0.65,10.36,10.07,9.98,9.85,8.06,8.08,0.06,0.12,0.13,0.16,0.37,0.43
221181,35.1462,128.9842,0.36,0.28,0.41,0.45,0.71,0.69,12.97,13.33,12.7,12.44,9.84,10.1,0.13,0.08,0.17,0.21,0.43,0.48
221182,35.2078,129.0062,0.3,0.27,0.33,0.38,0.7,0.7,11.66,11.77,11.55,11.3,8.82,8.79,0.09,0.07,0.11,0.15,0.4,0.47
221191,35.2755,129.0895,0.34,0.37,0.39,0.4,0.76,0.75,10.97,10.86,10.73,10.69,7.79,7.68,0.12,0.14,0.16,0.17,0.47,0.54
221192,35.1706,129.1742,0.35,0.34,0.38,0.39,0.7,0.67,10.55,10.6,10.45,10.4,8.15,8.33,0.12,0.12,0.15,0.16,0.41,0.45
221193,35.1832,129.121,0.3,0.35,0.38,0.39,0.71,0.69,11.29,11.12,10.97,10.94,8.54,8.54,0.09,0.12,0.15,0.15,0.4,0.47
221202,35.083,128.9669,0.32,0.3,0.43,0.45,0.71,0.7,11.94,12.0,11.36,11.26,8.97,9.04,0.1,0.09,0.19,0.2,0.42,0.48
221211,35.2087,128.9731,0.3,0.28,0.36,0.4,0.72,0.71,12.48,12.59,12.22,11.99,9.28,9.27,0.09,0.08,0.13,0.17,0.42,0.49
221212,35.0864,128.8631,0.33,0.3,0.42,0.45,0.71,0.67,11.95,12.04,11.47,11.29,9.03,9.34,0.11,0.1,0.18,0.21,0.43,0.47
221213,35.1066,128.9265,0.31,0.29,0.43,0.47,0.73,0.71,12.46,12.54,11.82,11.56,9.13,9.28,0.1,0.08,0.19,0.22,0.45,0.5
221221,35.1811,129.0746,0.31,0.38,0.42,0.43,0.72,0.69,10.61,10.35,10.16,10.07,7.91,8.1,0.1,0.15,0.18,0.19,0.43,0.47
221231,35.2387,129.2158,0.33,0.4,0.43,0.43,0.71,0.69,10.29,10.0,9.88,9.87,7.78,7.87,0.11,0.16,0.18,0.19,0.43,0.47
221233,35.3256,129.1802,0.33,0.35,0.39,0.39,0.72,0.71,10.97,10.87,10.71,10.71,8.15,8.19,0.11,0.12,0.15,0.15,0.43,0.49
221241,35.1294,129.0454,0.33,0.39,0.41,0.42,0.76,0.74,11.19,10.93,10.79,10.74,7.93,8.01,0.11,0.15,0.17,0.18,0.46,0.52
221251,35.2298,129.0927,0.35,0.25,0.32,0.32,0.67,0.65,9.52,9.84,9.62,9.62,7.62,7.7,0.12,0.07,0.11,0.11,0.37,0.42
221253,35.2295,129.1208,0.28,0.27,0.31,0.32,0.7,0.67,11.49,11.56,11.42,11.39,8.75,8.95,0.08,0.08,0.1,0.11,0.39,0.42
221281,35.1174,129.0157,0.33,0.35,0.41,0.43,0.7,0.69,11.26,11.16,10.91,10.79,8.68,8.65,0.11,0.13,0.17,0.19,0.4,0.45
221282,35.1744,128.9851,0.28,0.34,0.4,0.44,0.72,0.71,13.18,12.93,12.57,12.35,9.68,9.74,0.08,0.12,0.17,0.2,0.43,0.48
